Date,Open,High,Low,Close,Volume,Adj Close,Dividends
2010-01-22,87.99,88.04,86.61,86.77,1394400,66.35,0.0
2010-01-25,87.24,87.44,86.75,86.9,711300,66.45,0.0
2010-01-26,87.2,87.43,86.9,87.01,576000,66.54,0.0
2010-01-27,86.96,87.42,86.92,87.04,876500,66.56,0.0
2010-01-28,87.11,87.24,86.55,86.67,833700,66.28,0.0
2010-01-29,87.27,87.27,86.22,86.23,1357000,65.94,0.0
2010-02-01,85.95,86.28,85.65,85.98,924700,66.26,0.663
2010-02-02,86.27,86.61,86.0,86.24,1238500,66.46,0.0
2010-02-03,86.4,86.71,86.22,86.68,641200,66.8,0.0
2010-02-04,86.3,86.35,85.38,85.45,1762600,65.85,0.0
2010-02-05,85.33,85.33,83.45,84.95,3261500,65.47,0.0
2010-02-08,84.8,85.13,84.39,84.58,1202400,65.18,0.0
2010-02-09,84.86,85.05,84.46,84.75,853800,65.31,0.0
2010-02-10,84.7,84.92,83.6,83.61,1463200,64.43,0.0
2010-02-11,83.91,84.42,83.39,83.95,1157700,64.7,0.0
2010-02-12,83.96,84.17,83.38,83.9,743100,64.66,0.0
2010-02-16,83.67,85.02,83.67,84.73,1061300,65.3,0.0
2010-02-17,85.17,85.47,85.13,85.38,1400200,65.8,0.0
2010-02-18,85.49,86.39,85.49,86.19,1153400,66.42,0.0
2010-02-19,86.37,86.78,86.3,86.77,1485600,66.87,0.0
2010-02-22,86.89,87.06,86.71,86.88,1596200,66.95,0.0
2010-02-23,87.02,87.1,85.95,86.25,1014900,66.47,0.0
2010-02-24,86.57,86.98,86.35,86.58,1047000,66.72,0.0
2010-02-25,86.28,86.65,86.0,86.59,503400,66.73,0.0
2010-02-26,86.75,87.22,86.66,87.17,697900,67.18,0.0
2010-03-01,86.69,86.78,86.5,86.59,1468800,67.23,0.646
2010-03-02,86.88,87.2,86.69,87.15,1291800,67.66,0.0
2010-03-03,87.28,87.38,87.09,87.24,986800,67.73,0.0
2010-03-04,87.43,87.43,87.08,87.31,641100,67.79,0.0
2010-03-05,87.59,87.84,87.29,87.83,975800,68.19,0.0
2010-03-08,87.97,88.1,87.79,87.85,937900,68.21,0.0
2010-03-09,87.82,88.23,87.8,88.23,630800,68.5,0.0
2010-03-10,88.02,88.3,88.0,88.26,640200,68.53,0.0
2010-03-11,88.17,88.25,88.02,88.18,488500,68.46,0.0
2010-03-12,88.19,88.37,88.15,88.2,636700,68.48,0.0
2010-03-15,88.21,88.25,87.93,88.1,471400,68.4,0.0
2010-03-16,88.22,88.48,87.99,88.4,923300,68.63,0.0
2010-03-17,88.47,88.64,88.34,88.4,918300,68.63,0.0
2010-03-18,88.48,88.64,88.41,88.53,637200,68.73,0.0
2010-03-19,88.58,88.6,87.97,88.09,674600,68.39,0.0
2010-03-22,87.95,88.52,87.81,88.51,759000,68.72,0.0
2010-03-23,88.52,88.6,88.33,88.5,699200,68.71,0.0
2010-03-24,88.48,88.59,88.35,88.45,430800,68.67,0.0
2010-03-25,88.64,88.81,88.51,88.66,1005200,68.84,0.0
2010-03-26,88.62,88.7,88.5,88.63,1312500,68.81,0.0
2010-03-29,88.74,88.76,88.7,88.74,546200,68.9,0.0
2010-03-30,88.75,88.87,88.56,88.65,605600,68.83,0.0
2010-03-31,88.57,88.6,87.81,88.37,1255400,68.61,0.0
2010-04-01,87.84,88.0,87.5,87.5,773100,68.44,0.658
2010-04-05,87.65,87.98,87.41,87.46,930200,68.41,0.0
2010-04-06,87.51,88.08,87.45,88.03,679100,68.86,0.0
2010-04-07,87.91,88.24,87.9,88.16,859000,68.96,0.0
2010-04-08,88.1,88.35,88.01,88.31,736100,69.08,0.0
2010-04-09,88.3,88.57,88.26,88.44,679800,69.18,0.0
2010-04-12,88.55,88.66,88.44,88.46,443300,69.2,0.0
2010-04-13,88.64,88.82,88.64,88.7,1162900,69.38,0.0
2010-04-14,88.9,89.02,88.8,88.94,857700,69.57,0.0
2010-04-15,89.02,89.47,88.92,89.18,1251000,69.76,0.0
2010-04-16,89.15,89.35,88.1,88.46,1334100,69.2,0.0
2010-04-19,88.26,88.49,88.05,88.29,757200,69.06,0.0
2010-04-20,88.66,90.33,88.51,89.24,1299400,69.81,0.0
2010-04-21,89.34,89.41,89.09,89.25,553100,69.81,0.0
2010-04-22,89.22,89.22,88.78,88.99,250700,69.61,0.0
2010-04-23,89.0,89.6,88.87,89.57,676000,70.06,0.0
2010-04-26,89.4,89.7,89.4,89.57,440100,70.06,0.0
2010-04-27,89.57,89.73,88.37,88.44,1220700,69.18,0.0
2010-04-28,88.8,88.92,88.5,88.5,988000,69.23,0.0
2010-04-29,88.91,89.23,88.89,89.11,812200,69.7,0.0
2010-04-30,88.96,89.52,88.96,89.4,809800,69.93,0.0
2010-05-03,88.8,89.09,88.75,88.75,639000,69.92,0.64
2010-05-04,88.56,88.63,87.81,87.84,786100,69.21,0.0
2010-05-05,87.25,87.35,86.1,86.64,2567500,68.26,0.0
2010-05-06,86.28,86.51,78.96,84.49,6587300,66.57,0.0
2010-05-07,84.45,85.12,82.51,84.48,2584000,66.56,0.0
2010-05-10,86.89,87.4,85.61,86.06,1670100,67.8,0.0
2010-05-11,85.67,86.88,85.58,85.96,1524400,67.72,0.0
2010-05-12,86.5,87.03,86.43,87.01,1031200,68.55,0.0
2010-05-13,87.09,87.25,86.47,86.47,1151600,68.13,0.0
2010-05-14,86.21,86.46,85.36,85.97,1050700,67.73,0.0
2010-05-17,85.95,86.19,85.12,85.86,1120800,67.65,0.0
2010-05-18,86.32,86.46,85.41,85.68,1067400,67.5,0.0
2010-05-19,85.41,85.65,84.26,85.18,1565100,67.11,0.0
2010-05-20,83.89,83.89,81.33,82.64,3092800,65.11,0.0
2010-05-21,81.49,84.4,81.43,84.3,1815000,66.42,0.0
2010-05-24,84.1,85.2,83.99,84.43,1266200,66.52,0.0
2010-05-25,83.2,84.33,82.01,84.33,1507500,66.44,0.0
2010-05-26,84.64,85.05,83.19,83.32,1738300,65.64,0.0
2010-05-27,84.14,84.88,84.14,84.47,828500,66.55,0.0
2010-05-28,84.79,84.84,84.32,84.61,1253900,66.66,0.0
2010-06-01,83.61,84.35,83.37,83.57,770300,66.35,0.643
2010-06-02,83.93,84.14,83.7,84.0,1414500,66.69,0.0
2010-06-03,84.22,84.4,83.71,84.03,877200,66.71,0.0
2010-06-04,83.51,84.15,83.33,83.56,1439000,66.34,0.0
2010-06-07,83.47,84.27,82.98,82.98,992900,65.88,0.0
